SITE ID,datetime,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38,t+39,t+40,t+41,t+42,t+43,t+44,t+45,t+46,t+47,t+48,t+49,t+50,t+51,t+52,t+53,t+54,t+55,t+56,t+57,t+58,t+59,t+60,t+61,t+62,t+63,t+64,t+65,t+66,t+67,t+68,t+69,t+70,t+71,t+72
EPA001,2021-06-16 08:00:00,9.0,8.0,9.0,8.0,5.0,7.0,9.0,6.0,6.0,9.0,10.0,10.0,7.0,7.0,9.0,5.0,7.0,7.0,7.0,7.0,11.0,8.0,7.0,8.0,10.0,11.0,14.0,12.0,14.0,12.0,16.0,15.0,13.0,9.0,10.0,10.0,8.0,7.0,8.0,10.0,12.0,11.0,6.0,8.0,9.0,7.0,8.0,9.0,7.0,7.0,7.0,5.0,8.0,15.0,14.0,15.0,28.0,21.0,10.0,9.0,20.0,6.0,9.0,9.0,9.0,8.0,4.0,12.0,9.0,8.0,8.0,7.0
EPA002,2021-06-16 08:00:00,11.0,6.0,7.0,7.0,6.0,4.0,10.0,8.0,10.0,7.0,7.0,7.0,10.0,8.0,6.0,6.0,6.0,5.0,11.0,8.0,7.0,9.0,6.0,9.0,11.0,8.0,9.5,11.0,9.0,16.0,14.0,15.0,18.0,9.0,11.0,10.0,11.0,10.0,7.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,7.0,8.0,9.0,7.0,8.0,7.0,5.0,12.0,10.0,20.0,22.0,10.0,10.0,12.0,13.0,9.0,6.0,8.0,10.0,5.0,7.0,9.0,7.0,10.0,6.0,6.0
EPA003,2021-06-16 08:00:00,9.0,7.0,7.5,8.0,7.0,6.0,5.0,5.0,7.0,10.0,9.0,8.0,7.0,4.0,5.0,7.0,6.0,4.0,6.0,9.0,6.0,10.0,9.0,7.0,11.0,8.0,6.0,8.0,8.0,10.0,14.0,11.0,12.0,10.0,9.0,9.0,12.0,9.0,11.0,23.0,6.0,8.0,5.0,12.0,7.0,7.0,7.0,5.0,5.0,7.0,8.0,8.0,8.0,11.0,10.0,10.0,9.0,15.0,11.0,13.0,10.0,7.0,6.0,3.0,4.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0
EPA004,2021-06-16 08:00:00,7.0,5.0,5.0,4.0,4.0,4.0,5.0,9.0,7.0,5.0,4.0,4.0,7.0,5.0,5.0,11.0,9.0,7.0,6.0,5.0,4.0,7.0,8.0,10.0,8.0,7.0,6.0,9.0,10.0,11.0,12.0,13.0,11.0,12.0,11.0,11.0,12.0,12.0,15.0,11.0,9.0,9.0,10.0,7.0,9.0,14.0,8.0,5.0,4.0,2.0,2.0,5.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,11.0,9.0,10.0,12.0,9.0,7.0,5.0,3.0,4.0,8.0,7.0
EPA005,2021-06-16 08:00:00,9.0,8.0,7.0,10.0,8.0,8.0,10.0,7.0,13.0,9.0,8.0,8.0,6.0,5.0,6.0,5.0,4.0,6.0,7.0,4.0,2.0,8.0,5.0,6.0,6.0,9.0,8.0,9.0,10.0,13.0,11.0,15.0,17.0,13.0,11.0,8.0,8.0,8.0,13.0,10.0,11.0,9.0,5.0,11.0,9.0,6.0,8.0,11.0,10.0,6.0,3.0,4.0,6.0,8.0,10.0,19.0,13.0,12.0,8.0,8.0,9.0,13.0,12.0,7.0,6.0,5.0,9.0,6.0,7.0,7.0,4.0,8.0
EPA006,2021-06-16 08:00:00,7.0,5.0,7.0,10.0,9.0,6.0,7.0,6.0,8.0,12.0,10.0,8.0,8.0,5.0,5.0,6.0,8.0,10.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,14.0,11.0,11.0,17.0,10.0,8.0,12.0,13.0,10.0,9.0,11.0,8.0,8.0,7.0,6.0,8.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,11.0,13.0,11.0,17.0,11.0,7.0,9.0,11.0,9.0,8.0,8.0,9.0,12.0,7.0,4.0,3.0,5.0,9.0,7.0,9.0
EPA007,2021-06-16 08:00:00,4.0,5.0,6.0,4.0,5.0,7.0,9.0,8.0,9.0,7.0,5.0,5.0,6.0,9.0,7.0,8.0,14.0,8.0,8.0,9.0,11.0,13.0,8.0,6.0,8.0,8.029411765,8.058823529,8.088235294,8.117647059,8.147058824,8.176470588,8.205882353,8.235294118,8.264705882,8.294117647,8.323529412,8.352941176,8.382352941,8.411764706,8.441176471,8.470588235,8.5,8.529411765,8.558823529,8.588235294,8.617647059,8.647058824,8.676470588,8.705882353,8.735294118,8.764705882,8.794117647,8.823529412,8.852941176,8.882352941,8.911764706,8.941176471,8.970588235,9.0,9.029411765,9.058823529,9.088235294,9.117647059,9.147058824,9.176470588,9.205882353,9.235294118,9.264705882,9.294117647,9.323529412,9.352941176,9.382352941
EPA008,2021-06-16 08:00:00,8.0,5.0,7.0,7.0,7.0,5.0,5.0,6.0,8.0,8.0,9.0,9.0,6.0,7.0,8.0,5.0,7.0,1.0,5.0,6.0,6.0,10.0,12.0,10.0,8.0,10.0,9.0,11.0,8.0,9.0,15.0,9.0,7.0,9.0,7.0,13.0,11.0,13.0,11.0,8.0,7.0,6.0,7.0,9.0,9.0,7.0,7.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EPA009,2021-06-16 08:00:00,4.0,4.0,4.0,6.0,8.0,8.0,6.0,6.0,7.0,5.0,10.0,6.0,5.0,5.0,9.0,6.0,2.0,6.0,6.0,9.0,7.0,5.0,5.0,6.0,10.0,8.0,10.0,15.0,10.0,9.0,7.0,11.0,9.0,9.0,8.0,5.0,7.0,9.0,9.0,7.0,5.0,6.0,6.0,2.0,3.0,6.0,3.0,5.0,2.0,7.0,4.0,10.0,8.0,9.0,7.0,7.0,6.0,6.0,8.0,9.0,12.0,10.0,6.0,4.0,9.0,6.0,6.0,5.0,3.0,8.0,10.0,7.0
EPA010,2021-06-16 08:00:00,7.0,8.0,7.0,8.0,7.0,6.0,5.0,6.0,12.0,13.0,10.0,7.0,6.0,7.0,5.0,4.0,7.0,9.0,6.0,5.0,10.0,6.0,5.0,8.0,10.0,12.0,11.0,15.5,20.0,11.0,19.0,9.0,9.0,7.0,10.0,13.0,10.0,10.0,8.0,8.0,9.0,7.0,5.0,9.0,7.0,5.0,5.0,8.0,7.0,7.0,8.0,8.0,7.0,10.0,8.0,6.0,8.0,15.0,15.0,10.0,11.0,11.0,8.0,6.0,8.0,7.0,10.0,9.0,5.0,13.0,8.0,9.0
