SITE ID,datetime,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38,t+39,t+40,t+41,t+42,t+43,t+44,t+45,t+46,t+47,t+48,t+49,t+50,t+51,t+52,t+53,t+54,t+55,t+56,t+57,t+58,t+59,t+60,t+61,t+62,t+63,t+64,t+65,t+66,t+67,t+68,t+69,t+70,t+71,t+72
EPA001,2020-09-09 08:00:00,28.2,27.52,26.84,26.16,25.48,24.8,24.12,23.44,22.76,22.08,21.4,20.72,20.04,19.36,18.68,18.0,19.0,20.0,20.0,19.0,19.0,16.0,20.0,20.0,16.0,24.0,21.0,21.0,18.0,17.0,13.0,15.0,14.0,11.0,15.0,14.0,13.0,17.0,18.0,12.0,24.0,21.0,27.0,27.0,24.0,22.0,24.0,28.0,24.0,22.0,28.0,25.0,22.0,24.0,19.0,20.0,22.0,26.0,26.0,27.0,31.0,25.0,25.0,23.0,21.0,27.0,24.0,17.0,18.0,14.0,24.0,21.0
EPA002,2020-09-09 08:00:00,29.6,29.36,29.12,28.88,28.64,28.4,28.16,27.92,27.68,27.44,27.2,26.96,26.72,26.48,26.24,26.0,20.0,16.0,14.0,14.0,18.0,18.0,18.0,21.0,23.0,19.0,21.0,22.0,30.0,26.0,24.0,19.0,16.0,19.0,20.0,22.0,19.0,22.0,22.0,18.0,23.0,23.0,27.0,26.0,20.0,24.0,21.0,27.0,21.0,26.0,23.0,27.0,24.0,30.0,35.0,25.0,26.0,27.0,32.0,23.0,28.0,23.0,26.0,25.0,21.0,15.0,20.0,16.0,21.0,22.0,23.0,26.0
EPA003,2020-09-09 08:00:00,24.0,23.8,23.6,23.4,23.2,23.0,22.8,22.6,22.4,22.2,22.0,21.8,21.6,21.4,21.2,21.0,18.0,18.0,15.0,19.0,19.0,15.0,12.0,12.0,17.0,20.0,23.0,14.0,15.0,14.0,13.0,15.0,11.0,16.0,17.0,14.0,22.0,19.0,18.0,21.0,29.0,23.0,25.0,21.0,26.0,21.0,23.0,20.0,23.0,20.0,27.0,26.0,16.0,20.0,25.0,21.0,20.0,23.0,32.0,29.0,19.0,19.0,20.0,19.0,17.0,18.0,19.0,18.0,14.0,12.0,15.0,14.0
EPA004,2020-09-09 08:00:00,23.6,23.56,23.52,23.48,23.44,23.4,23.36,23.32,23.28,23.24,23.2,23.16,23.12,23.08,23.04,23.0,20.0,15.0,15.0,12.0,15.0,14.0,12.0,12.0,13.0,19.0,29.0,26.0,32.0,28.0,27.0,21.0,22.0,20.0,15.0,13.0,15.0,20.0,17.0,14.0,21.0,13.0,16.0,11.0,12.0,16.0,18.0,17.0,15.0,21.0,33.0,26.0,21.0,19.0,21.0,12.0,9.0,13.0,12.0,19.0,12.0,15.0,14.0,20.0,12.0,15.0,16.0,16.0,17.0,19.0,13.0,14.0
EPA005,2020-09-09 08:00:00,24.8,24.28,23.76,23.24,22.72,22.2,21.68,21.16,20.64,20.12,19.6,19.08,18.56,18.04,17.52,17.0,19.0,18.0,31.0,29.0,29.0,22.0,25.0,31.0,31.0,29.0,40.0,38.0,41.0,33.0,29.0,31.0,27.0,17.0,22.0,28.0,31.0,31.0,30.0,30.0,22.0,28.0,28.0,28.0,27.0,29.0,29.0,32.0,29.0,32.0,28.0,18.0,17.0,23.0,17.0,25.0,22.0,27.0,26.0,27.0,25.0,28.0,18.0,20.0,19.0,18.0,20.0,21.0,20.0,22.0,26.0,18.0
EPA006,2020-09-09 08:00:00,21.4,21.04,20.68,20.32,19.96,19.6,19.24,18.88,18.52,18.16,17.8,17.44,17.08,16.72,16.36,16.0,18.0,12.0,12.0,27.0,23.0,25.0,22.0,25.0,28.0,31.0,27.0,27.0,34.0,36.0,32.0,25.0,24.0,13.0,15.0,21.0,32.0,25.0,26.0,21.0,15.0,17.0,34.0,27.0,32.0,29.0,32.0,28.0,28.0,26.0,22.0,24.0,20.0,21.0,17.0,19.0,22.0,19.0,15.0,19.0,17.0,24.0,20.0,19.0,22.0,16.0,14.0,12.0,12.0,19.0,18.0,17.0
EPA007,2020-09-09 08:00:00,26.8,26.28,25.76,25.24,24.72,24.2,23.68,23.16,22.64,22.12,21.6,21.08,20.56,20.04,19.52,19.0,18.0,19.0,19.0,19.0,22.0,24.0,32.0,22.0,30.0,29.0,27.0,25.0,31.0,40.0,34.0,35.0,33.0,23.0,18.0,24.0,33.0,32.0,32.0,34.0,24.0,23.0,18.0,19.0,19.0,24.0,33.0,35.0,31.0,30.0,20.0,17.0,18.0,20.0,22.0,20.0,25.0,18.0,19.0,21.0,24.0,26.0,25.0,27.0,21.0,17.0,26.0,21.0,19.0,17.0,27.0,19.0
EPA008,2020-09-09 08:00:00,25.6,24.96,24.32,23.68,23.04,22.4,21.76,21.12,20.48,19.84,19.2,18.56,17.92,17.28,16.64,16.0,16.0,11.0,16.0,15.0,13.0,15.0,16.0,24.0,28.0,24.0,26.0,26.0,38.0,44.0,36.0,33.0,21.0,21.0,24.0,21.0,31.0,32.0,16.0,17.0,15.0,18.0,18.0,16.0,20.0,17.0,20.0,21.0,27.0,28.0,25.0,19.0,21.0,19.0,15.0,20.0,15.0,13.0,18.0,17.0,19.0,17.0,16.0,10.0,14.0,17.0,13.0,14.0,20.0,16.0,21.0,21.0
EPA009,2020-09-09 08:00:00,29.2,28.92,28.64,28.36,28.08,27.8,27.52,27.24,26.96,26.68,26.4,26.12,25.84,25.56,25.28,25.0,25.0,23.0,13.0,20.0,17.0,20.0,20.0,23.0,25.0,28.0,26.0,24.0,41.0,50.0,32.0,26.0,27.0,25.0,19.0,33.0,30.0,21.0,31.0,30.0,29.0,31.0,19.0,26.0,25.0,26.0,31.0,37.0,29.0,21.0,16.0,16.0,12.0,21.0,14.0,15.0,13.0,16.0,17.0,12.0,12.0,15.0,13.0,19.0,17.0,19.0,20.0,16.0,19.0,19.0,19.0,15.0
EPA010,2020-09-09 08:00:00,20.6,20.56,20.52,20.48,20.44,20.4,20.36,20.32,20.28,20.24,20.2,20.16,20.12,20.08,20.04,20.0,19.0,15.0,17.0,13.0,15.0,13.0,16.0,16.0,17.0,18.0,19.0,22.0,24.0,32.0,28.0,25.0,32.0,39.0,25.0,20.0,17.0,19.0,30.0,25.0,21.0,20.0,21.0,19.0,15.0,20.0,17.0,32.0,23.0,27.0,18.0,15.0,19.0,13.0,10.0,11.0,13.0,15.0,24.0,14.0,14.0,13.0,15.0,18.0,19.0,20.0,18.0,19.0,21.0,17.0,17.0,11.0
