SITE ID,datetime,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38,t+39,t+40,t+41,t+42,t+43,t+44,t+45,t+46,t+47,t+48,t+49,t+50,t+51,t+52,t+53,t+54,t+55,t+56,t+57,t+58,t+59,t+60,t+61,t+62,t+63,t+64,t+65,t+66,t+67,t+68,t+69,t+70,t+71,t+72
EPA011,2020-08-27 08:00:00,12.0,13.0,10.0,10.0,9.1,8.2,7.3,6.4,5.5,4.6,3.7,2.8,1.9,1.0,2.0,1.976744186,1.953488372,1.930232558,1.906976744,1.88372093,1.860465116,1.837209302,1.813953488,1.790697674,1.76744186,1.744186047,1.720930233,1.697674419,1.674418605,1.651162791,1.627906977,1.604651163,1.581395349,1.558139535,1.534883721,1.511627907,1.488372093,1.465116279,1.441860465,1.418604651,1.395348837,1.372093023,1.348837209,1.325581395,1.302325581,1.279069767,1.255813953,1.23255814,1.209302326,1.186046512,1.162790698,1.139534884,1.11627907,1.093023256,1.069767442,1.046511628,1.023255814,1.0,1.0,2.0,2.0,3.0,3.0,2.916666667,2.833333333,2.75,2.666666667,2.583333333,2.5,2.416666667,2.333333333,2.25
EPA012,2020-08-27 08:00:00,9.0,8.615384615,8.230769231,7.846153846,7.461538462,7.076923077,6.692307692,6.307692308,5.923076923,5.538461538,5.153846154,4.769230769,4.384615385,4.0,6.0,5.906976744,5.813953488,5.720930233,5.627906977,5.534883721,5.441860465,5.348837209,5.255813953,5.162790698,5.069767442,4.976744186,4.88372093,4.790697674,4.697674419,4.604651163,4.511627907,4.418604651,4.325581395,4.23255814,4.139534884,4.046511628,3.953488372,3.860465116,3.76744186,3.674418605,3.581395349,3.488372093,3.395348837,3.302325581,3.209302326,3.11627907,3.023255814,2.930232558,2.837209302,2.744186047,2.651162791,2.558139535,2.465116279,2.372093023,2.279069767,2.186046512,2.093023256,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EPA013,2020-08-27 08:00:00,18.0,13.0,8.0,3.0,9.0,9.0,8.0,8.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,8.0,11.0,8.0,9.0,8.0,12.0,11.0,10.0,9.0,10.0,10.0,15.0,16.0,19.0,11.0,7.0,5.0,8.0,6.0,2.0,3.0,6.0,9.0,10.0,11.0,12.0,9.0,7.0,6.0,7.0,10.0,10.0,7.0,6.0,8.0,8.0,7.0,11.0,9.0,7.0,7.0,6.0,6.0,4.0,6.0,7.0,4.0,4.0
EPA014,2020-08-27 08:00:00,11.0,10.0,10.0,12.0,8.0,9.0,7.0,4.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,9.0,5.0,4.0,6.0,7.0,4.0,3.0,8.0,9.0,9.0,8.0,14.0,12.0,10.0,11.0,14.0,8.0,10.0,8.0,6.0,8.0,9.0,12.0,10.0,7.0,7.0,7.0,8.0,9.0,7.0,5.0,11.0,17.0,8.0,8.0,10.0,8.0,6.0,13.0,12.0,15.0,11.0,11.0,9.0,13.0,11.0,6.0,1.0,2.0,9.0,9.0,7.0,4.0,3.0,5.0,6.0,5.0
EPA015,2020-08-27 08:00:00,16.0,12.0,12.0,11.0,9.0,6.0,8.0,6.0,6.0,8.0,4.0,3.0,3.0,7.0,6.0,6.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,7.0,7.0,7.0,10.0,7.0,6.0,8.0,15.0,9.0,8.0,6.0,5.0,9.0,7.0,11.0,11.0,10.0,10.0,7.0,9.0,9.0,7.0,17.0,8.0,9.0,8.0,9.0,14.0,9.0,8.0,11.0,16.0,12.0,11.0,13.0,8.0,9.0,7.0,7.0,6.0,6.0,11.0,9.0,7.0,10.0,8.0,5.0,5.0,4.0
EPA017,2020-08-27 08:00:00,7.0,7.0,7.0,7.0,6.0,8.0,6.0,9.0,8.0,5.0,1.0,5.0,5.0,2.0,1.0,6.0,5.0,5.0,6.0,9.0,10.0,6.0,10.0,9.0,6.0,6.0,9.0,14.0,13.0,7.0,11.0,14.0,12.0,11.0,14.0,9.0,10.0,22.0,19.0,23.0,14.0,12.0,16.0,21.0,29.0,16.0,13.0,9.0,9.0,16.0,12.0,16.0,8.0,8.0,9.0,11.0,11.0,8.0,9.0,8.0,11.0,10.0,8.0,7.0,13.0,10.0,8.0,16.0,8.0,7.0,8.0,9.0
EPA018,2020-08-27 08:00:00,10.0,7.0,6.0,10.0,6.0,3.0,4.0,6.0,9.0,6.0,5.0,6.0,10.0,5.0,6.0,13.0,7.0,7.0,14.0,5.0,9.0,11.0,8.0,8.0,9.0,5.0,4.0,5.0,5.0,6.0,6.0,4.0,10.0,7.0,11.0,9.0,9.0,11.0,18.0,25.0,4.0,5.0,12.0,17.0,16.0,15.0,23.0,18.0,12.0,14.0,20.0,15.0,10.0,17.0,15.0,11.0,9.0,8.0,10.0,10.0,16.0,7.0,5.0,9.0,7.0,4.0,11.0,8.0,9.0,7.0,8.0,11.0
EPA019,2020-08-27 08:00:00,4.0,9.0,8.0,10.0,6.0,5.0,5.0,8.0,10.0,6.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,7.0,8.0,5.0,6.0,8.0,7.0,3.0,2.0,5.0,3.0,4.0,5.0,10.0,9.0,4.0,5.0,11.0,12.0,7.0,8.0,6.0,9.0,13.0,11.0,9.0,12.0,12.0,20.0,12.0,13.0,10.0,12.0,9.0,7.0,13.0,9.0,11.0,12.0,9.0,8.0,7.0,13.0,9.0,4.0,10.0,16.0,15.0,17.0,18.0,13.0,15.0,9.0,9.0,16.0
EPA020,2020-08-27 08:00:00,3.0,6.0,7.0,6.0,5.910714286,5.821428571,5.732142857,5.642857143,5.553571429,5.464285714,5.375,5.285714286,5.196428571,5.107142857,5.017857143,4.928571429,4.839285714,4.75,4.660714286,4.571428571,4.482142857,4.392857143,4.303571429,4.214285714,4.125,4.035714286,3.946428571,3.857142857,3.767857143,3.678571429,3.589285714,3.5,3.410714286,3.321428571,3.232142857,3.142857143,3.053571429,2.964285714,2.875,2.785714286,2.696428571,2.607142857,2.517857143,2.428571429,2.339285714,2.25,2.160714286,2.071428571,1.982142857,1.892857143,1.803571429,1.714285714,1.625,1.535714286,1.446428571,1.357142857,1.267857143,1.178571429,1.089285714,1.0,3.0,3.0,1.0,1.138888889,1.277777778,1.416666667,1.555555556,1.694444444,1.833333333,1.972222222,2.111111111,2.25
EPA021,2020-08-27 08:00:00,3.0,5.0,8.0,4.0,3.0,9.0,8.0,11.0,8.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,6.0,5.0,6.0,3.0,12.0,12.0,13.0,10.0,9.0,11.0,8.0,16.0,11.0,7.0,8.0,10.0,6.0,4.0,11.0,11.0,14.0,9.0,12.0,7.0,11.0,25.0,15.0,11.0,9.0,11.0,13.0,16.0,10.0,17.0,14.0,12.0,9.0,13.0,11.0,11.0,10.0,7.0,4.0,2.0,11.0,10.0
EPA022,2020-08-27 08:00:00,6.0,4.0,7.0,6.0,5.0,4.0,2.0,4.0,7.0,5.0,9.0,12.0,6.0,3.0,3.0,4.0,4.0,5.0,8.0,6.0,6.0,7.0,6.0,7.0,8.0,6.0,5.0,3.0,4.0,13.0,11.0,7.0,7.0,6.0,9.0,13.0,11.0,8.0,8.0,8.0,6.0,11.0,12.0,15.0,13.0,11.0,16.0,12.0,16.0,7.0,6.0,9.0,10.0,10.0,10.0,12.0,14.0,12.0,12.0,11.0,18.0,15.0,10.0,10.0,8.0,9.0,15.0,14.0,15.0,14.0,9.0,10.0
EPA023,2020-08-27 08:00:00,7.0,4.0,4.0,4.0,3.0,3.0,1.0,11.0,9.0,7.0,6.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,7.0,13.0,7.0,7.0,10.0,9.0,5.0,3.0,9.0,7.0,5.0,5.0,3.0,7.0,8.0,6.0,7.0,7.0,15.0,12.0,13.0,14.0,13.0,20.0,16.0,13.0,12.0,13.0,12.0,13.0,11.0,10.0,7.0,10.0,7.0,4.0,6.0,4.0,7.0,6.0,5.0,7.0,6.0
EPA024,2020-08-27 08:00:00,7.0,10.0,9.833333333,9.666666667,9.5,9.333333333,9.166666667,9.0,8.833333333,8.666666667,8.5,8.333333333,8.166666667,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,6.0,7.0,7.0,6.0,6.083333333,6.166666667,6.25,6.333333333,6.416666667,6.5,6.583333333,6.666666667,6.75
EPA025,2020-08-27 08:00:00,7.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,10.0,7.0,10.0,8.0,7.0,6.0,10.0,7.0,10.0,6.0,7.0,7.0,4.0,4.0,7.0,5.0,9.0,6.0,2.0,1.75,1.5,1.25,1.0,4.0,9.0,11.0,11.0,9.0,7.0,9.0,15.0,14.0,11.0,10.0,9.0,8.0,8.0,7.0,11.0,12.0,10.0,9.0,11.0,10.0,7.0,10.0,10.0,9.0,12.0,11.0,14.0,17.0,21.0,11.0,13.0,14.0,14.0,8.0,10.0,7.0,6.0,7.0,8.0,6.0
EPA026,2020-08-27 08:00:00,4.0,9.0,5.0,3.0,1.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,1.0,5.0,8.0,6.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,6.0,7.0,11.0,9.0,8.0,6.0,7.0,9.0,10.0,9.0,7.0,11.0,8.0,12.0,9.0,8.0,10.0,11.0,11.0,8.0,7.0,13.0,11.0,7.0,9.0,15.0,13.0,13.0,10.0,6.0,6.0,8.0,12.0,10.0,15.0,13.0,12.0,12.0,11.0,15.0,15.0,17.0,16.0,13.0,14.0,12.0,10.0
EPA027,2020-08-27 08:00:00,5.0,6.0,6.0,3.0,1.0,1.0,3.0,5.0,7.0,9.0,7.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,7.0,7.0,14.0,9.0,6.0,8.0,8.0,8.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,8.0,8.0,8.0,6.0,8.0,8.0,5.0,5.0,11.0,16.0,16.0,15.0,6.0,3.0,4.0,12.0,15.0,15.0,13.0,11.0,16.0,15.0,10.0,19.0,15.0,13.0,13.0,15.0,16.0,15.0
EPA028,2020-08-27 08:00:00,7.0,5.0,3.5,2.0,1.0,2.0,3.0,9.0,7.0,17.0,10.0,8.0,5.0,2.0,4.0,1.0,1.0,4.0,5.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,11.0,11.0,12.0,11.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,7.0,7.0,13.0,10.0,9.0,9.0,10.0,11.0,18.0,20.0,15.0,8.0,11.0,15.0,13.0,17.0,14.0,12.0,19.0,20.0,21.0,18.0,19.0,14.0,15.0,17.0,19.0,20.0
EPA029,2020-08-27 08:00:00,5.0,5.0,3.0,1.0,2.0,3.0,4.0,4.0,3.625,3.25,2.875,2.5,2.125,1.75,1.375,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,5.0,4.0,4.142857143,4.285714286,4.428571429,4.571428571,4.714285714,4.857142857,5.0,5.142857143,5.285714286,5.428571429,5.571428571,5.714285714,5.857142857,6.0,6.142857143,6.285714286,6.428571429,6.571428571,6.714285714,6.857142857,7.0,7.142857143,7.285714286,7.428571429,7.571428571,7.714285714,7.857142857,8.0,7.0,6.0,7.0,7.0,7.0,6.833333333,6.666666667,6.5,6.333333333,6.166666667,6.0,5.833333333,5.666666667,5.5
EPA030,2020-08-27 08:00:00,11.0,9.0,7.0,4.0,3.0,5.0,6.0,7.0,5.0,7.0,7.0,4.0,3.0,4.0,5.0,5.0,3.0,7.0,5.0,1.0,1.0,5.0,7.0,5.0,7.0,15.0,11.0,9.0,7.0,6.0,8.0,14.0,10.0,13.0,16.0,14.0,14.0,16.0,8.0,9.0,8.0,15.0,11.0,12.0,13.0,11.0,12.0,11.0,13.0,11.0,14.0,11.0,11.0,12.0,20.0,17.0,16.0,10.0,21.0,20.0,21.0,18.0,21.0,16.0,16.0,17.0,16.0,16.0,20.0,17.0,19.0,18.0
EPA031,2020-08-27 08:00:00,4.0,6.0,5.0,4.0,2.0,1.0,8.0,8.0,6.0,4.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,6.0,5.0,3.0,3.0,3.0,2.0,6.0,7.0,7.0,8.0,10.0,8.0,11.0,9.0,8.0,9.0,8.0,14.0,12.0,11.0,10.0,10.0,12.0,10.0,8.0,8.0,8.0,12.0,14.0,18.0,10.0,10.0,12.0,13.0,10.0,11.0,16.0,17.0,14.0,11.0,14.0,18.0,21.0,23.0,20.0,20.0,19.0,17.0,14.0,15.0,14.0,16.0,17.0,16.0,18.0
EPA032,2020-08-27 08:00:00,2.714285714,2.857142857,3.0,3.142857143,3.285714286,3.428571429,3.571428571,3.714285714,3.857142857,4.0,8.0,7.0,6.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,8.0,8.0,9.0,10.0,10.0,6.0,7.0,11.0,7.0,8.0,8.0,5.0,9.0,10.0,9.0,10.0,11.0,8.0,9.0,9.0,10.0,11.0,15.0,12.0,13.0,16.0,18.0,15.0,13.0,18.0,13.0,12.0,11.0,10.0,12.0,23.0,16.0,20.0,23.0,22.0,26.0,18.0,20.0,20.0,19.0,16.0,20.0,18.0
EPA033,2020-08-27 08:00:00,6.0,5.0,3.0,3.0,2.0,8.0,7.0,3.0,6.0,7.0,7.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,9.0,6.0,5.0,4.0,6.0,9.0,9.0,8.0,6.0,12.0,8.0,8.0,12.0,11.0,8.0,7.0,7.0,9.0,11.0,8.0,12.0,14.0,13.0,10.0,11.0,17.0,14.0,15.0,11.0,15.0,16.0,13.0,16.0,21.0,18.0,22.0,27.0,25.0,21.0,14.0,12.0,13.0,14.0,19.0,18.0,19.0
EPA034,2020-08-27 08:00:00,6.0,7.0,6.0,3.0,5.0,7.0,8.0,8.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,4.0,3.0,7.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0,11.0,6.0,6.0,6.0,5.0,7.0,7.0,8.0,11.0,8.0,8.0,9.0,11.0,8.0,9.0,6.0,5.0,9.0,8.0,8.0,9.0,12.0,11.0,11.0,13.0,11.0,11.0,10.0,10.0,11.0,17.0,12.0,18.0,14.0,15.0,10.0,6.0,13.0,20.0,18.0,17.0,21.0,22.0,21.0,18.0,21.0
EPA035,2020-08-27 08:00:00,1.0,1.0,1.0,3.0,4.0,3.0,5.0,7.0,6.0,4.0,4.0,5.0,6.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,5.0,5.0,6.0,4.0,7.0,12.0,8.0,5.0,7.0,5.0,4.0,10.0,10.0,11.0,10.0,7.0,7.0,6.0,7.0,10.0,13.0,12.0,7.0,10.0,7.0,6.0,9.0,7.0,8.0,10.0,9.0,19.0,21.0,22.0,30.0,18.0,20.0,20.0,16.0,16.0,16.0,14.0,24.0,15.0,19.0,21.0
EPA036,2020-08-27 08:00:00,3.0,6.0,5.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,4.0,3.0,5.0,7.0,5.0,6.0,6.0,9.0,10.0,12.0,9.0,14.0,9.0,9.0,9.0,12.0,8.0,7.0,7.0,8.0,9.0,11.0,12.0,13.0,12.0,9.0,6.0,8.0,5.0,11.0,10.0,19.0,21.0,20.0,17.0,22.0,21.0,20.0,19.0,17.0,15.0,14.0,14.0,20.0,20.0,15.0,15.0,12.0,16.0
EPA037,2020-08-27 08:00:00,5.0,4.0,1.0,1.0,3.0,5.0,6.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,6.0,6.0,2.0,1.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,2.0,6.0,8.0,9.0,9.0,8.0,11.0,11.0,12.0,8.0,8.0,9.0,8.0,8.0,11.0,9.0,8.0,7.0,8.0,13.0,9.0,10.0,7.0,12.0,11.0,11.0,11.0,10.0,16.0,11.0,11.0,10.0,12.0,16.0,11.0,13.0,13.0,17.0,15.0,14.0,11.0,11.0,11.0,13.0,11.0
EPA038,2020-08-27 08:00:00,6.0,6.0,7.0,4.0,2.0,4.0,7.0,5.0,4.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,6.0,6.0,4.0,2.0,4.0,6.0,8.0,7.0,5.0,6.0,4.0,7.0,6.0,12.0,9.0,11.0,7.0,7.0,9.0,11.0,10.0,11.0,8.0,9.0,11.0,6.0,6.0,8.0,14.0,11.0,8.0,9.0,10.0,9.0,8.0,7.0,7.0,9.0,9.0,8.0,11.0,17.0,32.0,31.0,13.0,13.0,10.0,10.0,16.0,13.0,17.0,10.0,11.0,16.0,18.0,19.0
EPA039,2020-08-27 08:00:00,7.0,10.0,5.0,6.0,8.0,9.0,5.0,6.0,5.0,9.0,6.0,7.0,6.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,7.0,6.0,7.0,6.0,6.5,7.0,4.0,10.0,8.0,12.0,11.0,12.0,9.0,5.0,10.0,11.0,9.0,7.0,8.0,10.0,10.0,6.0,5.0,10.0,12.0,13.0,9.0,8.0,7.0,6.0,5.0,9.0,6.0,4.0,11.0,7.0,7.0,15.0,4.0,8.0,8.0,9.0,11.0,10.0,9.0,10.0,11.0,12.0,8.0,12.0
EPA040,2020-08-27 08:00:00,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,8.0,7.0,6.0,10.0,8.0,7.0,11.0,7.0,6.0,7.0,5.0,5.0,19.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,6.0,7.0,8.0,5.0,6.0,10.0,9.0,11.0,9.0,10.0,8.0,11.0,10.0,9.0,8.0,11.0
EPA041,2020-08-27 08:00:00,7.0,7.0,5.0,3.0,2.0,3.0,6.0,6.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,4.0,7.0,6.0,6.0,7.0,4.0,4.0,4.0,2.0,5.0,7.0,7.0,9.0,6.0,3.0,6.0,7.0,7.0,5.0,6.0,8.0,6.0,7.0,7.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0,12.0,10.0,8.0,12.0,12.0,8.0,7.0,7.0,8.0,11.0,11.0,8.0,13.0,16.0,14.0,9.0,10.0,6.0,11.0,13.0,12.0,13.0,16.0,14.0,19.0,19.0
EPA042,2020-08-27 08:00:00,5.0,4.0,2.0,1.8,1.6,1.4,1.2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,8.0,9.0,5.0,4.0,5.0,4.0,6.0,8.0,9.0,6.0,7.0,9.0,8.0,7.0,6.0,4.0,3.0,7.0,7.0,9.0,7.0,7.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,7.0,9.0,8.0,4.0,3.0,7.0,4.0,6.0,5.0,5.0,4.0,5.0,4.0,3.0,9.0,10.0,8.0,7.0
