SITE ID,datetime,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38,t+39,t+40,t+41,t+42,t+43,t+44,t+45,t+46,t+47,t+48,t+49,t+50,t+51,t+52,t+53,t+54,t+55,t+56,t+57,t+58,t+59,t+60,t+61,t+62,t+63,t+64,t+65,t+66,t+67,t+68,t+69,t+70,t+71,t+72
EPA001,2020-06-28 08:00:00,9.0,6.0,9.0,10.0,8.0,8.0,8.0,12.0,8.0,7.0,7.0,9.0,11.0,10.0,11.0,10.92,10.84,10.76,10.68,10.6,10.52,10.44,10.36,10.28,10.2,10.12,10.04,9.96,9.88,9.8,9.72,9.64,9.56,9.48,9.4,9.32,9.24,9.16,9.08,9.0,11.0,11.0,10.0,11.0,8.0,16.0,13.0,9.0,11.0,14.0,15.0,11.0,8.0,5.0,7.0,8.0,9.0,10.0,11.0,11.0,11.0,9.0,8.0,9.0,8.0,9.0,6.0,9.0,8.0,6.0,7.0,11.0
EPA002,2020-06-28 08:00:00,10.0,6.0,5.0,11.0,11.0,9.0,12.0,12.0,11.0,12.0,9.0,16.0,16.0,11.0,12.0,12.04,12.08,12.12,12.16,12.2,12.24,12.28,12.32,12.36,12.4,12.44,12.48,12.52,12.56,12.6,12.64,12.68,12.72,12.76,12.8,12.84,12.88,12.92,12.96,13.0,14.0,14.0,11.0,9.0,12.0,16.0,11.0,11.0,12.0,13.0,14.0,14.0,11.0,7.0,15.0,4.0,7.0,12.0,11.0,12.0,12.0,12.0,13.0,8.0,9.0,12.0,12.0,14.0,10.0,10.0,15.0,17.0
EPA003,2020-06-28 08:00:00,9.0,14.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.08,8.16,8.24,8.32,8.4,8.48,8.56,8.64,8.72,8.8,8.88,8.96,9.04,9.12,9.2,9.28,9.36,9.44,9.52,9.6,9.68,9.76,9.84,9.92,10.0,9.0,11.0,10.0,12.0,13.0,10.0,10.0,11.0,12.0,15.0,12.0,12.0,11.0,8.0,8.0,13.0,10.0,7.0,8.0,7.0,6.0,8.0,8.0,18.0,13.0,11.0,9.0,10.0,8.0,6.0,11.0,9.0
EPA004,2020-06-28 08:00:00,7.0,9.0,7.0,3.0,2.0,7.0,6.0,12.0,9.0,10.0,8.0,14.0,10.0,10.0,9.0,9.24,9.48,9.72,9.96,10.2,10.44,10.68,10.92,11.16,11.4,11.64,11.88,12.12,12.36,12.6,12.84,13.08,13.32,13.56,13.8,14.04,14.28,14.52,14.76,15.0,3.0,8.0,7.0,12.0,10.0,11.0,11.0,11.0,11.0,10.0,9.0,9.0,16.0,17.0,13.0,11.0,12.0,10.0,13.0,14.0,14.0,12.0,11.0,16.0,9.0,13.0,9.0,9.0,12.0,9.0,5.0,11.0
EPA005,2020-06-28 08:00:00,8.0,6.0,6.5,7.0,6.0,11.0,8.0,7.0,4.0,12.0,8.0,8.0,10.0,9.0,8.0,8.08,8.16,8.24,8.32,8.4,8.48,8.56,8.64,8.72,8.8,8.88,8.96,9.04,9.12,9.2,9.28,9.36,9.44,9.52,9.6,9.68,9.76,9.84,9.92,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,6.0,12.0,9.0,6.0,8.0,9.0,8.0,5.0,11.0,12.0,12.0,9.0,10.0,10.0,8.0,9.0,7.0,6.0,13.0,13.0,18.0,10.0,21.0,19.0
EPA006,2020-06-28 08:00:00,4.0,3.0,2.0,3.0,5.0,6.0,8.0,8.0,5.0,10.0,10.0,8.0,6.0,9.0,9.0,9.24,9.48,9.72,9.96,10.2,10.44,10.68,10.92,11.16,11.4,11.64,11.88,12.12,12.36,12.6,12.84,13.08,13.32,13.56,13.8,14.04,14.28,14.52,14.76,15.0,11.0,7.0,7.0,10.0,9.0,10.0,8.0,9.0,7.0,10.0,8.0,14.0,11.0,9.0,7.0,8.0,6.0,8.0,10.0,11.0,14.0,10.0,8.0,10.0,8.0,7.0,11.0,12.0,9.0,11.0,11.0,11.0
EPA007,2020-06-28 08:00:00,3.0,1.0,4.0,6.0,6.0,6.0,7.0,10.0,11.0,12.0,16.0,13.0,8.0,9.0,12.0,11.96,11.92,11.88,11.84,11.8,11.76,11.72,11.68,11.64,11.6,11.56,11.52,11.48,11.44,11.4,11.36,11.32,11.28,11.24,11.2,11.16,11.12,11.08,11.04,11.0,15.0,7.0,11.0,13.0,11.0,11.0,13.0,10.0,8.0,5.0,7.0,8.0,10.0,8.0,7.0,11.0,13.0,14.0,9.0,11.0,9.0,11.0,11.0,11.0,15.0,12.0,17.0,12.0,11.0,15.0,14.0,10.0
EPA008,2020-06-28 08:00:00,9.0,7.0,7.0,6.0,8.0,10.0,10.0,8.0,9.0,10.0,13.0,13.0,11.0,8.0,11.0,10.92,10.84,10.76,10.68,10.6,10.52,10.44,10.36,10.28,10.2,10.12,10.04,9.96,9.88,9.8,9.72,9.64,9.56,9.48,9.4,9.32,9.24,9.16,9.08,9.0,12.0,12.0,10.0,9.0,8.0,11.0,11.0,12.0,12.0,14.0,10.0,12.0,14.0,12.0,9.0,9.0,8.0,10.0,11.0,9.0,11.0,9.0,11.0,10.0,11.0,8.0,12.0,13.0,11.0,10.0,14.0,15.0
EPA009,2020-06-28 08:00:00,7.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,13.0,10.0,12.0,12.0,9.0,7.0,8.0,8.08,8.16,8.24,8.32,8.4,8.48,8.56,8.64,8.72,8.8,8.88,8.96,9.04,9.12,9.2,9.28,9.36,9.44,9.52,9.6,9.68,9.76,9.84,9.92,10.0,10.0,10.0,9.0,8.0,6.0,11.0,10.0,7.0,8.0,9.0,17.0,9.0,7.0,5.0,4.0,3.0,2.0,6.0,9.0,6.0,7.0,11.0,10.0,6.0,2.0,6.0,7.0,6.0,6.0,7.0,9.0,5.0
EPA010,2020-06-28 08:00:00,3.0,4.0,8.0,5.0,8.0,6.0,3.0,5.0,10.0,9.0,12.0,11.0,13.0,12.0,9.0,9.12,9.24,9.36,9.48,9.6,9.72,9.84,9.96,10.08,10.2,10.32,10.44,10.56,10.68,10.8,10.92,11.04,11.16,11.28,11.4,11.52,11.64,11.76,11.88,12.0,10.0,13.0,11.0,9.0,8.0,9.0,10.0,11.0,9.0,9.0,11.0,9.0,7.0,7.0,8.0,6.0,3.0,4.0,5.0,11.0,7.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,14.0,12.0
